8	4	36	13.8	-0.5	0.004	10.6	-3.2	0.223
8	5	1	8.2	0.5	0.064	8.9	0.7	0.004
8	5	2	3.6	0.3	0.197	4.3	0.7	0.004
8	5	3	13.3	0.6	0.066	14.0	0.7	0.011
8	5	22	139.7	1.3	0.885	138.6	-0.8	0.900
8	5	32	53.3	-1.9	0.030	53.2	-0.2	0.856
8	5	35	3.4	-0.1	0.212	3.5	0.1	0.482
8	5	36	15.4	-0.3	0.025	14.8	-0.6	0.680
8	6	1	18.2	0.8	0.000	19.2	1.0	0.000
8	6	2	13.1	0.6	0.001	14.1	1.0	0.000
8	6	3	23.9	0.9	0.000	24.9	1.0	0.005
8	6	22	271.2	5.8	0.701	273.2	0.7	0.914
8	6	32	53.6	-2.3	0.123	53.5	-0.2	0.873
8	6	35	2.6	0.0	0.469	2.7	0.1	0.609
8	6	36	13.2	-1.8	0.021	11.4	-0.4	0.213
8	7	1	7.9	0.4	0.059	9.2	1.3	0.000
8	7	2	4.2	0.4	0.069	5.6	1.4	0.000
8	7	3	12.3	0.4	0.134	13.6	1.3	0.000
8	7	22	136.7	12.5	0.216	134.6	-1.5	0.831
8	7	32	65.3	0.3	0.697	66.2	1.3	0.094
8	7	35	3.1	-0.2	0.116	3.1	0.0	0.767
8	7	36	12.0	-0.4	0.213	9.8	-2.2	0.354
9	1	1	8.2	0.4	0.409	9.5	1.3	0.000
9	1	2	4.2	0.6	0.007	5.5	1.3	0.000
9	1	3	12.7	0.6	0.004	13.9	1.2	0.000
9	1	22	575.4	1.8	0.332	588.3	2.2	0.624
9	1	32	58.9	-0.7	0.118	59.1	0.3	0.740
9	1	35	2.6	-0.1	0.000	2.5	-0.1	0.037
9	1	36	12.1	-0.3	0.003	10.8	-1.3	0.199
9	4	1	-3.7	0.4	0.409	-1.4	1.2	0.010
9	4	2	-6.3	0.5	0.393	-4.5	1.8	0.004
9	4	3	-0.9	0.3	0.452	0.6	1.5	0.003
9	4	22	118.9	-2.6	0.739	137.0	15.3	0.024
9	4	32	75.4	0.6	0.248	75.9	0.6	0.248
9	4	35	2.9	-0.2	0.005	2.9	-0.2	0.005
9	4	36	13.0	-0.4	0.000	11.0	-2.0	0.350
9	5	1	8.7	0.5	0.068	9.6	0.9	0.001
9	5	2	4.2	0.4	0.148	5.1	0.9	0.002
9	5	3	13.6	0.6	0.081	14.4	0.8	0.006
9	5	22	127.2	5.4	0.459	123.1	-3.2	0.656
9	5	32	50.3	-1.5	0.083	50.9	1.2	0.398
9	5	35	2.7	-0.1	0.021	2.8	0.1	0.332
9	5	36	12.7	-0.2	0.056	13.5	0.8	0.556
9	6	1	20.0	0.8	0.003	21.0	1.0	0.001
9	6	2	14.6	0.7	0.003	15.5	0.9	0.000
9	6	3	25.8	1.0	0.003	26.9	1.1	0.007
